React Component	A building block of a React application that encapsulates UI and logic.
JSX	JavaScript XML; a syntax extension that allows writing HTML-like code in JavaScript.
Props	Short for properties; used to pass data from parent to child components.
State	An object that holds dynamic data in a component and triggers re-render when updated.
map()	A JavaScript array method used in React to render lists by transforming array elements.
Component Hierarchy	The structure of nested components in a React application.
Rendering Lists	Displaying multiple elements by iterating over data, often using map().
Functional vs Class Components	Functional components are simpler and use hooks; class components are older and use lifecycle methods.
Instantiation	Creating an instance of a React component using JSX syntax like <Component />.
Key Prop	A unique identifier for list elements in React to help with efficient rendering.
